symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
AUD_JPY,74,47,63.5,49.77,59721.91,0.673
USD_CHF,80,49,61.3,43.85,52622.25,0.548
USD_JPY,81,47,58.0,40.32,48379.22,0.498
USD_CAD,115,63,54.8,37.62,45143.11,0.327
GBP_NZD,88,50,56.8,35.21,42251.72,0.4
GBP_JPY,79,45,57.0,34.61,41526.28,0.438
SPX500_USD,71,39,54.9,31.53,37834.19,0.444
CHF_JPY,75,42,56.0,31.35,37615.32,0.418
NAS100_USD,62,33,53.2,30.22,36258.65,0.487
EUR_USD,86,46,53.5,29.92,35909.87,0.348
XAU_USD,69,36,52.2,29.23,35074.97,0.424
AUD_CAD,95,53,55.8,26.39,31666.97,0.278
GBP_AUD,87,45,51.7,23.49,28191.42,0.27
GBP_CAD,69,38,55.1,23.26,27906.1,0.337
GBP_CHF,66,37,56.1,21.93,26312.52,0.332
GBP_USD,84,41,48.8,19.47,23361.98,0.232
EUR_NZD,74,37,50.0,19.34,23212.77,0.261
XAG_USD,62,28,45.2,16.22,19465.21,0.262
BTC_USD,135,55,40.7,16.01,19210.14,0.119
EUR_CAD,63,30,47.6,11.16,13393.31,0.177
ETH_USD,118,47,39.8,11.02,13221.69,0.093
EUR_JPY,84,38,45.2,10.54,12653.08,0.126
NZD_CHF,62,30,48.4,10.27,12328.53,0.166
AUD_USD,92,44,47.8,9.95,11939.21,0.108
EUR_GBP,71,36,50.7,8.6,10324.46,0.121
AUD_CHF,52,24,46.2,4.55,5460.99,0.088
CAD_JPY,81,35,43.2,2.7,3239.48,0.033
AUD_NZD,74,30,40.5,0.94,1126.19,0.013
CAD_CHF,57,23,40.4,-0.02,-24.16,-0.0
NZD_CAD,90,38,42.2,-3.03,-3633.64,-0.034
EUR_AUD,75,27,36.0,-5.68,-6820.61,-0.076
NZD_USD,91,34,37.4,-8.91,-10696.32,-0.098
EUR_CHF,88,36,40.9,-10.03,-12035.7,-0.114
NZD_JPY,76,26,34.2,-14.03,-16835.69,-0.185
TOTAL,2726,1329,48.8,587.75,705305.44,0.216
