section,metric,value
META,report_generated,2025-12-28 23:26:13
META,total_trials,5
META,best_trial,0
META,best_score,184.04
META,optimization_hours,0
TRAINING,total_r,222.0415
TRAINING,sharpe,1.8237
TRAINING,sortino,37.889
TRAINING,win_rate,24.8884
TRAINING,profit_usd,133224.9209
TRAINING,total_trades,896
TRAINING,max_drawdown,25013.8178
VALIDATION,total_r,327.2365
VALIDATION,sharpe,4.4392
VALIDATION,sortino,103.1363
VALIDATION,win_rate,33.1325
VALIDATION,profit_usd,196341.9165
VALIDATION,total_trades,498
VALIDATION,max_drawdown,24164.5073
FINAL,total_r,549.2781
FINAL,sharpe,2.7969
FINAL,sortino,60.7577
FINAL,win_rate,27.8336
FINAL,profit_usd,329566.8374
FINAL,total_trades,1394
FINAL,max_drawdown,25013.8178
PARAMS,risk_per_trade_pct,0.3
PARAMS,max_concurrent_trades,7
PARAMS,min_confluence_score,4
PARAMS,min_quality_factors,1
PARAMS,adx_trend_threshold,25
PARAMS,adx_range_threshold,13
PARAMS,trend_min_confluence,3
PARAMS,range_min_confluence,5
PARAMS,atr_trail_multiplier,3.0
PARAMS,atr_vol_ratio_range,0.9
PARAMS,atr_min_percentile,40.0
PARAMS,atr_sl_multiplier,1.0
PARAMS,partial_exit_at_1r,True
PARAMS,partial_exit_pct,0.25
PARAMS,trail_activation_r,2.0
PARAMS,tp1_r_multiple,1.0
PARAMS,tp2_r_multiple,2.9
PARAMS,tp3_r_multiple,3.0
PARAMS,tp1_close_pct,0.4
PARAMS,tp2_close_pct,0.3
PARAMS,tp3_close_pct,0.25
PARAMS,volatile_asset_boost,1.6
PARAMS,summer_risk_multiplier,0.4
PARAMS,fib_zone_low,0.65
PARAMS,fib_zone_high,0.9
